id,index,ret_subj,ploss_subj,avgloss_subj,exploss_subj,glscore_calc,experience_stockmarket_subj,experience_swiss_stockmarket_subj,knowledge_stockmarket_subj,knowledge_swiss_stockmarket_subj,num_investments_subj,mroi_obj,var_obj,avgloss_obj,ploss_obj,maxloss_obj,evloss_x_ploss_obj,quest,perceived
173,ABBN,2,80,9,56,10,3,3,3,3,500,0.144191579642857,0.229924932522747,0.319993293,0.357142857142857,0.097385032,0.114283318928571,Fluctuation,6
179,ABBN,6,30,22,10,8,2,1,2,1,0,0.144191579642857,0.229924932522747,0.319993293,0.357142857142857,0.097385032,0.114283318928571,Fluctuation,7
181,ABBN,6,45,30,40,10,3,1,3,1,4,0.144191579642857,0.229924932522747,0.319993293,0.357142857142857,0.097385032,0.114283318928571,Fluctuation,7
182,ABBN,1,50,30,20,10,1,1,2,1,0,0.144191579642857,0.229924932522747,0.319993293,0.357142857142857,0.097385032,0.114283318928571,Fluctuation,5
183,ABBN,6,5,0,5,13,3,1,4,1,0,0.144191579642857,0.229924932522747,0.319993293,0.357142857142857,0.097385032,0.114283318928571,Fluctuation,4
184,ABBN,6,75,15,15,11,3,2,4,2,5,0.144191579642857,0.229924932522747,0.319993293,0.357142857142857,0.097385032,0.114283318928571,Fluctuation,5
185,ABBN,6,80,30,35,11,2,1,2,1,0,0.144191579642857,0.229924932522747,0.319993293,0.357142857142857,0.097385032,0.114283318928571,Fluctuation,6
186,ABBN,3,60,80,60,11,3,2,4,2,10,0.144191579642857,0.229924932522747,0.319993293,0.357142857142857,0.097385032,0.114283318928571,Fluctuation,5
188,ABBN,1,85,60,80,12,1,1,2,1,3,0.144191579642857,0.229924932522747,0.319993293,0.357142857142857,0.097385032,0.114283318928571,Fluctuation,7
189,ABBN,7,42,50,21,7,1,1,1,1,0,0.144191579642857,0.229924932522747,0.319993293,0.357142857142857,0.097385032,0.114283318928571,Fluctuation,2
190,ABBN,3,15,13,17,9,3,1,4,1,2,0.144191579642857,0.229924932522747,0.319993293,0.357142857142857,0.097385032,0.114283318928571,Fluctuation,5
191,ABBN,4,15,15,0,12,1,1,1,1,0,0.144191579642857,0.229924932522747,0.319993293,0.357142857142857,0.097385032,0.114283318928571,Fluctuation,7
60,ActelionN,7,80,10,15,11,1,1,2,1,0,0.213111028785714,0.193701237656427,0.133545806285714,0.5,0.03142329,0.0667729031428571,Fluctuation,7
64,ActelionN,5,20,15,10,10,1,1,1,1,0,0.213111028785714,0.193701237656427,0.133545806285714,0.5,0.03142329,0.0667729031428571,Fluctuation,5
65,ActelionN,6,20,20,5,10,3,1,3,1,3,0.213111028785714,0.193701237656427,0.133545806285714,0.5,0.03142329,0.0667729031428571,Fluctuation,5
66,ActelionN,5,0,0,0,10,1,1,1,1,0,0.213111028785714,0.193701237656427,0.133545806285714,0.5,0.03142329,0.0667729031428571,Fluctuation,5
67,ActelionN,7,45,13,10,12,1,1,2,1,0,0.213111028785714,0.193701237656427,0.133545806285714,0.5,0.03142329,0.0667729031428571,Fluctuation,7
68,ActelionN,5,45,30,50,10,1,1,1,1,0,0.213111028785714,0.193701237656427,0.133545806285714,0.5,0.03142329,0.0667729031428571,Fluctuation,6
70,ActelionN,5,35,18,15,8,2,1,2,1,0,0.213111028785714,0.193701237656427,0.133545806285714,0.5,0.03142329,0.0667729031428571,Fluctuation,7
