"firm","year","date","ROIyearly","ROIyearly2","uniparkorder","i.uniparkorder"
"SwisscomReg",2005,2005-06-01,-0.0745299910474485,-0.0745299910474485,15,15
"SwisscomReg",2006,2006-06-01,0.126964933494559,0.126964933494559,15,15
"SwisscomReg",2007,2007-06-01,-0.0515021459227468,-0.0515021459227468,15,15
"SwisscomReg",2008,2008-06-01,-0.214932126696833,-0.214932126696833,15,15
"SwisscomReg",2009,2009-06-01,0.148703170028818,0.148703170028818,15,15
"SwisscomReg",2010,2010-06-01,0.0379874213836479,0.0379874213836479,15,15
"SwisscomReg",2011,2011-06-01,-0.130540082344393,-0.130540082344393,15,15
"SwisscomReg",2012,2012-06-01,0.108635097493036,0.108635097493036,15,15
"SwisscomReg",2013,2013-06-01,0.174623115577889,0.174623115577889,15,15
"SwisscomReg",2014,2014-06-01,0.118716577540107,0.118716577540107,15,15
"SwisscomReg",2015,2015-06-01,-0.0401529636711281,-0.0401529636711281,15,15
"SyngentaN",2003,2003-06-01,0.00964589414900357,0.00964589414900357,16,16
"SyngentaN",2004,2004-06-01,0.456693903205531,0.456693903205531,16,16
"SyngentaN",2005,2005-06-01,0.367797337913267,0.367797337913267,16,16
"SyngentaN",2006,2006-06-01,0.437217478653943,0.437217478653943,16,16
"SyngentaN",2007,2007-06-01,0.248252664686353,0.248252664686353,16,16
"SyngentaN",2008,2008-06-01,-0.264041994750656,-0.264041994750656,16,16
"SyngentaN",2009,2009-06-01,0.373276271992392,0.373276271992392,16,16
"SyngentaN",2010,2010-06-01,-0.0470588235294118,-0.0470588235294118,16,16
"SyngentaN",2011,2011-06-01,0.0144927536231884,0.0144927536231884,16,16
"SyngentaN",2012,2012-06-01,0.356071428571429,0.356071428571429,16,16
"SyngentaN",2013,2013-06-01,-0.0632077956281275,-0.0632077956281275,16,16
"SyngentaN",2014,2014-06-01,-0.0863086870958673,-0.0863086870958673,16,16
"SyngentaN",2015,2015-06-01,0.185230769230769,0.185230769230769,16,16
"TheSwatchGrp",2003,2003-06-01,0.26271186440678,0.26271186440678,17,17
"TheSwatchGrp",2004,2004-06-01,0.135570469798658,0.135570469798658,17,17
"TheSwatchGrp",2005,2005-06-01,0.168452380952381,0.168452380952381,17,17
"TheSwatchGrp",2006,2006-06-01,0.390728476821192,0.390728476821192,17,17
"TheSwatchGrp",2007,2007-06-01,0.237179487179487,0.237179487179487,17,17
"TheSwatchGrp",2008,2008-06-01,-0.546706143597335,-0.546706143597335,17,17
"TheSwatchGrp",2009,2009-06-01,0.750489875898106,0.750489875898106,17,17
"TheSwatchGrp",2010,2010-06-01,0.592649310872894,0.592649310872894,17,17
"TheSwatchGrp",2011,2011-06-01,-0.140456182472989,-0.140456182472989,17,17
"TheSwatchGrp",2012,2012-06-01,0.327374301675978,0.327374301675978,17,17
"TheSwatchGrp",2013,2013-06-01,0.22790404040404,0.22790404040404,17,17
"TheSwatchGrp",2014,2014-06-01,-0.243016281062554,-0.243016281062554,17,17
"TheSwatchGrp",2015,2015-06-01,-0.237038714059316,-0.237038714059316,17,17
"USBGroupN",2003,2003-06-01,0.220631304913765,0.220631304913765,18,18
"USBGroupN",2004,2004-06-01,0.141029058917622,0.141029058917622,18,18
"USBGroupN",2005,2005-06-01,0.31981981981982,0.31981981981982,18,18
"USBGroupN",2006,2006-06-01,0.199568888090533,0.199568888090533,18,18
"USBGroupN",2007,2007-06-01,-0.315513626834382,-0.315513626834382,18,18
"USBGroupN",2008,2008-06-01,-0.660905709910304,-0.660905709910304,18,18
"USBGroupN",2009,2009-06-01,0.0696774193548386,0.0696774193548386,18,18
"USBGroupN",2010,2010-06-01,-0.0279156327543425,-0.0279156327543425,18,18
