"IndustryGroup";"IndustryName";"NumberofFirms";"Beta";"ROE";"CostofEquity";"(ROE-COE)";"BVofEquity";"EquityEVA";"ROC";"CostofCapital";"(ROC-WACC)";"BVofCapital";"EVA";"E/(D+E)";"StdDevinStock";"CostofDebt";"TaxRate";"After-taxCostofDebt";"D/(D+E)"
"Finance";"Financial Svcs. (Non-bank & Insurance)";113;0.93;-3.49;"8.92%";"-12.42%";"$311'866.08";"$(38'719.77)";"0.23%";"3.90%";"-3.68%";"$2'056'266.39";"$(75'602.83)";"12.20%";43.67;"4.38%";"9.91%";"3.21%";"87.80%"
"FoodDrinks";"Food Processing";156;0.83;14.42;"8.18%";"6.24%";"$153'220.44";"$9'557.92";"13.70%";"7.43%";"6.26%";"$170'978.03";"$10'710.74";"84.99%";41.77;"4.38%";"14.97%";"3.21%";"15.01%"
"FoodDrinks";"Food Wholesalers";13;0.57;13.35;"6.36%";"6.98%";"$3'364.04";"$234.84";"41.89%";"4.16%";"37.73%";"$5'873.06";"$2'215.90";"30.18%";47.71;"4.38%";"11.66%";"3.21%";"69.82%"
"Housing";"Furn/Home Furnishings";47;0.99;12.23;"9.38%";"2.85%";"$14'512.86";"$414.32";"12.42%";"8.16%";"4.26%";"$20'531.55";"$874.73";"80.34%";38.89;"4.38%";"10.36%";"3.21%";"19.66%"
"Energy";"Green & Renewable Energy";48;1.24;2.01;"11.18%";"-9.17%";"$22'007.03";"$(2'017.28)";"4.39%";"6.96%";"-2.57%";"$42'989.95";"$(1'103.50)";"44.58%";57.1;"4.88%";"17.32%";"3.57%";"55.42%"
"";"Healthcare Products";153;0.93;10.15;"8.94%";"1.22%";"$49'911.60";"$607.49";"18.05%";"7.98%";"10.07%";"$62'152.47";"$6'257.50";"83.28%";49.41;"4.38%";"11.05%";"3.21%";"16.72%"
"";"Healthcare Support Services";47;0.9;6.09;"8.70%";"-2.61%";"$29'226.02";"$(762.19)";"20.63%";"6.95%";"13.69%";"$30'448.01";"$4'167.14";"68.10%";43.71;"4.38%";"20.40%";"3.21%";"31.90%"
"";"Heathcare Information and Technology";69;0.96;7.28;"9.17%";"-1.90%";"$11'747.53";"$(222.63)";"10.58%";"8.29%";"2.28%";"$16'570.26";"$378.60";"84.28%";56.48;"4.88%";"21.90%";"3.57%";"15.72%"
"Housing";"Homebuilding";41;1.06;17.2;"9.89%";"7.31%";"$24'689.79";"$1'803.59";"19.76%";"9.54%";"10.22%";"$23'536.71";"$2'404.85";"94.73%";49;"4.38%";"14.39%";"3.21%";"5.27%"
"";"Hospitals/Healthcare Facilities";37;0.62;7.15;"6.71%";"0.44%";"$10'030.07";"$44.02";"2.74%";"4.99%";"-2.25%";"$24'805.20";"$(559.34)";"50.97%";43.45;"4.38%";"6.63%";"3.21%";"49.03%"
"Leisure";"Hotel/Gaming";122;0.99;5.81;"9.33%";"-3.51%";"$58'130.53";"$(2'041.63)";"9.19%";"7.50%";"1.68%";"$80'403.25";"$1'354.09";"68.34%";53.64;"4.88%";"18.21%";"3.57%";"31.66%"
"";"Household Products";65;0.95;22.81;"9.07%";"13.74%";"$81'147.24";"$11'151.09";"20.55%";"8.52%";"12.03%";"$83'617.91";"$10'056.80";"90.02%";50.11;"4.88%";"8.16%";"3.57%";"9.98%"
"";"Information Services";27;1.26;14.17;"11.28%";"2.89%";"$7'376.55";"$213.31";"23.26%";"9.81%";"13.45%";"$8'133.39";"$1'093.81";"81.84%";47.4;"4.38%";"19.35%";"3.21%";"18.16%"
"Finance";"Insurance (General)";45;1.12;8.95;"10.29%";"-1.34%";"$344'851.24";"$(4'616.53)";"12.47%";"8.27%";"4.19%";"$305'804.27";"$12'826.43";"71.57%";31.09;"4.38%";"20.56%";"3.21%";"28.43%"
"Finance";"Insurance (Life)";22;1.73;8.82;"14.65%";"-5.83%";"$161'326.50";"$(9'407.46)";"7.90%";"9.00%";"-1.11%";"$220'305.08";"$(2'438.36)";"50.65%";43.33;"4.38%";"3.90%";"3.21%";"49.35%"
"Finance";"Insurance (Prop/Cas.)";22;1.05;11.14;"9.80%";"1.34%";"$71'599.60";"$960.29";"10.96%";"8.54%";"2.43%";"$81'100.96";"$1'969.07";"80.89%";31.31;"4.38%";"7.04%";"3.21%";"19.11%"
"Finance";"Investments & Asset Management";325;0.75;16.41;"7.61%";"8.80%";"$88'635.14";"$7'801.21";"17.86%";"6.58%";"11.29%";"$77'623.28";"$8'761.63";"76.61%";45.35;"4.38%";"11.30%";"3.21%";"23.39%"
"";"Machinery";209;1.2;10.53;"10.89%";"-0.36%";"$98'827.84";"$(353.97)";"13.60%";"9.53%";"4.07%";"$121'408.52";"$4'940.44";"82.35%";46.34;"4.38%";"17.89%";"3.21%";"17.65%"
